dom_len,is_ip,tld_len,subdom_cnt,digit_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,path_len,query_len,label
15,0,3,1,0,0,0,2,0,0,0.785714286,0.0,0.214285714,1,3,1,0,0
11,0,3,1,0,0,0,2,0,0,0.75,0.0,0.25,1,3,1,0,0
8,0,3,0,0,0,0,1,0,0,0.705882353,0.0,0.294117647,1,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,1,3,1,0,1
6,0,3,1,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
16,0,2,1,0,0,0,2,0,0,0.785714286,0.0,0.214285714,0,3,1,0,0
33,0,2,1,0,0,0,3,2,0,0.836363636,0.0,0.163636364,1,3,10,0,0
17,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,1,0,0
11,0,3,2,10,1,0,4,0,0,0.906666667,0.044444444,0.048888889,1,4,13,154,1
14,0,3,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,1,3,1,0,0
13,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,1,2,0,0,0
10,0,3,1,4,0,0,2,0,0,0.827586207,0.068965517,0.103448276,1,3,1,0,1
10,0,5,0,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
9,0,5,1,0,0,0,4,0,0,0.735294118,0.0,0.264705882,0,4,14,0,0
19,0,3,1,0,0,0,2,1,0,0.774193548,0.0,0.225806452,0,3,1,0,0
13,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,1,3,1,0,0
11,0,3,1,0,0,0,2,0,0,0.75,0.0,0.25,1,3,1,0,0
15,0,3,0,0,1,0,2,1,2,0.793650794,0.0,0.206349206,1,5,25,14,0
6,0,3,1,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
9,0,3,1,0,0,0,2,4,0,0.835616438,0.0,0.164383562,1,5,52,0,0
6,0,3,2,0,0,0,4,0,0,0.839285714,0.0,0.160714286,1,4,32,0,0
10,0,3,1,14,0,0,2,3,0,0.79389313,0.106870229,0.099236641,1,7,108,0,1
20,0,2,1,0,0,0,2,1,0,0.78125,0.0,0.21875,0,3,1,0,0
15,0,5,0,0,0,0,2,0,0,0.782608696,0.0,0.217391304,1,2,0,0,1
19,0,3,1,0,0,0,2,0,0,0.838709677,0.0,0.161290323,1,2,0,0,0
